ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
920249.BJ,20260422,20260422,20260331,1,1,1,421630000.0,204255458.18,90210291.36,52606279.01,,215491034.35,,17073277.56,826814395.92,,13908697.35,27677.6,,649495106.3,,,,,,,,,13433343.02,1938890780.79,,,16560325.67,,,,,,,,,,,4008669.89,,,2973581.98,22061657.57,,9711238.61,283162435.8,,,,,,,,,,,,,,,,,2222053216.59,,412715537.72,,,,,114249700.65,736922780.75,,,,24783983.13,14811300.72,,,,,,,,,,,24759460.41,3687892.68,1400603272.32,,,,,18446569.85,8450237.92,,42378171.72,,,,,,,,,,,,,,,,,1442981444.04,,,,,4175046.43,774896726.12,779071772.55,2222053216.59,,6194697.57,,,,,,,,,,,,44760453.03,843887673.48,851172481.4,22367524.74,157154823.04,,23912163.23,,,359093.17,0
920249.BJ,20260416,20260416,20251231,1,1,4,421630000.0,197523428.42,75451696.87,52606279.01,,208963794.61,,26251064.02,746653941.12,17352452.48,7695483.0,28115.22,,540057283.18,,,,,,,,,10666925.75,1739561989.05,,,18294731.7,,,,,159375655.7,,,,,,3790934.76,,,2238179.59,23041103.85,,4597227.95,263099788.76,,,,,,,,,,,,,,,,,2002661777.81,,419760803.55,,,,,82593701.6,581196885.75,,,,45895499.51,15843022.38,,,21738075.18,,,,,,,,19472288.67,1203572.44,1206097652.31,,,,,18270572.89,8818333.82,,29702188.28,,,,,,,,,,,,,,,,,1235799840.59,,,,,4493363.3,762368573.92,766861937.22,2002661777.81,,15157169.62,,,,,,,,,,,,18393803.23,772905005.14,663790587.35,17380567.7,159375655.7,,21738075.18,,,359093.17,0
920249.BJ,20251030,20251030,20250930,1,1,3,421630000.0,170092303.9,66439802.41,53210896.56,,184869346.95,19542558.11,5876251.07,763590028.03,,10335952.67,,,598213722.04,,,,,,,,,3586835.22,1769457111.27,,,23987966.55,,,,,,,,,,,3759998.71,,,2604694.4,38880691.04,,9823746.9,261426525.8,,,,,,,,,,,,,,,,,2030883637.07,12142820.83,422390329.17,,,,,160000000.0,571890183.47,,,,40053855.7,5887693.26,,,,,,,,,,,19473608.11,1814990.83,1242994993.37,,,,,30548371.33,9442381.87,,53312962.74,,,,,,,,,,,,,,,,,1296307956.11,,,,,5547768.33,729027912.63,734575680.96,2030883637.07,,17654909.76,,,,,,,,,,,,11633888.53,769466279.1,731890183.47,36528577.2,151149126.24,213622.4,9850444.3,,,368165.71,0
920249.BJ,20250820,20250820,20250630,1,1,2,421630000.0,163152606.27,59684102.99,53210896.56,,192128752.56,890149.63,4051553.92,765105343.51,38239058.43,8982549.91,28634.4,,586207287.88,,,,,,,,,11663559.86,1789267904.6,,,17657014.19,,,,,148983527.88,976187.5,,,,,3971042.29,,,3115591.98,39402681.34,,4842638.69,252663505.36,,,,,,,,,,,,,,,,,2041931409.96,12127712.14,406898879.4,,,,,170377470.13,593703095.45,,,,31346940.26,11721695.61,,,20791381.47,,,,,,,,19962574.06,1333905.5,1269316231.16,,,,,28944432.95,9710585.0,,52350433.72,,,,,,,,,,,,,,,,,1321666664.88,,,,,5209331.32,715055413.76,720264745.08,2041931409.96,,17377807.94,,,,,,,,,,,,13180289.28,769156897.43,764080565.58,38267692.83,148983527.88,976187.5,20791381.47,,,368165.71,1
920249.BJ,20250820,20250820,20250630,1,1,2,421630000.0,163152606.27,59684102.99,53210896.56,,192128752.56,890149.63,4051553.92,765105343.51,38239058.43,8982549.91,28634.4,,586207287.88,,,,,,,,,11663559.86,1789267904.6,,,17657014.19,,,,,148983527.88,976187.5,,,,,3971042.29,,,3115591.98,39402681.34,,4842638.69,252663505.36,,,,,,,,,,,,,,,,,2041931409.96,12127712.14,406898879.4,,,,,170377470.13,593703095.45,,,,31346940.26,11721695.61,,,20791381.47,,,,,,,,19962574.06,1333905.5,1269316231.16,,,,,28944432.95,9710585.0,,52350433.72,,,,,,,,,,,,,,,,,1321666664.88,,,,,5209331.32,715055413.76,720264745.08,2041931409.96,,17377807.94,,,,,,,,,,,,13180289.28,769156897.43,764080565.58,38267692.83,148983527.88,976187.5,20791381.47,,,368165.71,0
920249.BJ,20250429,20250429,20250331,1,1,1,421630000.0,156511156.45,52004192.01,53210896.56,,171984343.54,894416.42,512784.06,688942560.45,,7714856.15,28712.8,,609885288.6,,,,,,,,,10107523.09,1738361508.37,,,17681703.29,,,,,,,,,,,4352778.78,,,3486481.4,41900900.21,,970681.07,254131123.06,,,,,,,,,,,,,,,,,1992492631.43,17427030.56,395858847.47,,,,,153069459.58,593576600.83,,,,20764345.59,9145416.76,,,,,,,,,,,24872913.37,1194555.69,1230639588.02,,,,3467702.32,28096243.77,8267537.13,,57406045.12,,,,,,,,,,,,,,,,,1288045633.14,,,,,5157150.59,699289847.7,704446998.29,1992492631.43,,15933602.68,,,,,,,,,,,,14535169.81,689455344.51,746646060.41,37325424.14,153561767.23,,17622278.92,,,368165.71,1
920249.BJ,20250429,20250429,20250331,1,1,1,421630000.0,156511156.45,52004192.01,53210896.56,,171984343.54,894416.42,512784.06,688942560.45,,7714856.15,28712.8,,609885288.6,,,,,,,,,10107523.09,1738361508.37,,,17681703.29,,,,,,,,,,,4352778.78,,,3486481.4,41900900.21,,970681.07,254131123.06,,,,,,,,,,,,,,,,,1992492631.43,17427030.56,395858847.47,,,,,153069459.58,593576600.83,,,,20764345.59,9145416.76,,,,,,,,,,,24872913.37,1194555.69,1230639588.02,,,,3467702.32,28096243.77,8267537.13,,57406045.12,,,,,,,,,,,,,,,,,1288045633.14,,,,,5157150.59,699289847.7,704446998.29,1992492631.43,,15933602.68,,,,,,,,,,,,14535169.81,689455344.51,746646060.41,37325424.14,153561767.23,,17622278.92,,,368165.71,0
920249.BJ,20250429,20250429,20241231,1,1,4,421630000.0,150015674.38,49032678.74,53210896.56,,149434638.17,911970.09,8030433.61,584046584.5,25818284.81,10640656.02,28753.62,,661832794.85,,,,,,,,,12438939.2,1595262618.38,,,17986404.69,,,,,156866326.06,,,,,,4707523.54,,,2842575.35,41326158.95,,1010207.17,261594917.75,,,,,,,,,,,,,,,,,1856857536.13,17472798.0,404093258.53,,,,,122372476.57,476817096.06,,,,30258506.43,4802636.52,,,15257140.7,,,,,,,,28184603.85,1456534.03,1098859460.16,,,,3408652.59,27127379.12,8666276.19,,56785783.94,,,,,,,,,,,,,,,,,1155645244.1,,,,,5262267.6,695950024.43,701212292.03,1856857536.13,,22060774.75,,,,,,,,,,,,15617207.47,592077018.11,599189572.63,25847038.43,156866326.06,,15257140.7,,,368165.71,0
920249.BJ,20250429,20250429,20241231,1,1,4,421630000.0,150015674.38,49032678.74,53210896.56,,149434638.17,911970.09,8030433.61,584046584.5,25818284.81,10640656.02,28753.62,,661832794.85,,,,,,,,,12438939.2,1595262618.38,,,17986404.69,,,,,156866326.06,,,,,,4707523.54,,,2842575.35,41326158.95,,1010207.17,261594917.75,,,,,,,,,,,,,,,,,1856857536.13,17472798.0,404093258.53,,,,,122372476.57,476817096.06,,,,30258506.43,4802636.52,,,15257140.7,,,,,,,,28184603.85,1456534.03,1098859460.16,,,,3408652.59,27127379.12,8666276.19,,56785783.94,,,,,,,,,,,,,,,,,1155645244.1,,,,,5262267.6,695950024.43,701212292.03,1856857536.13,,22060774.75,,,,,,,,,,,,15617207.47,592077018.11,599189572.63,25847038.43,156866326.06,,15257140.7,,,368165.71,1
920249.BJ,20250429,20260131,20241231,1,1,4,421630000.0,161357397.9,33124154.65,52606279.01,,149434638.17,911970.09,8030433.61,584046584.5,25818284.81,10640656.02,28753.62,,661832794.85,,,,,,,,,12438939.2,1595262618.38,,,17986404.69,,,,,156866326.06,,,,,,4707523.54,,,2842575.35,41326158.95,,1010207.17,261594917.75,,,,,,,,,,,,,,,,,1856857536.13,17472798.0,404093258.53,,,,,122372476.57,476817096.06,,,,30258506.43,10311631.08,,,15257140.7,,,,,,,,28184603.85,1456534.03,1104368454.72,,,,3408652.59,27127379.12,8666276.19,,56785783.94,,,,,,,,,,,,,,,,,1161154238.66,,,,,4924691.16,690778606.31,695703297.47,1856857536.13,,22060774.75,,,,,,,,,,,,15617207.47,592077018.11,599189572.63,25847038.43,156866326.06,,15257140.7,,,368165.71,1
920249.BJ,20241031,20241031,20240930,1,1,3,421630000.0,149191640.15,108275641.61,53210896.56,,145211726.98,1000000.0,64823.06,707224069.08,,38903848.88,28029.6,,805097194.56,,,,,,,,,6318033.32,1844999938.18,,,32929032.72,,,,,,,,,,,3865497.67,,,3427153.7,36166730.59,,267923.92,280637297.12,,,,,,,,,,,,,,,,,2125637235.3,29754950.6,428876527.5,,,,,156896436.07,643980160.02,,,,25418974.18,3220730.43,,,,,,,,,,,24017857.06,,1310465965.81,,,,,26679864.49,5538781.33,,63274052.09,,,,,,,,,,,,,,,,,1373740017.9,,,,,5564989.32,746332228.08,751897217.4,2125637235.3,,14024049.76,,,,,,,,,,,,8644395.09,707288892.14,800876596.09,29580574.32,162755941.7,1972231.88,19410885.46,,,357377.4,0
920249.BJ,20240830,20240830,20240630,1,1,2,421630000.0,145014371.5,115807671.54,53210896.56,,159717326.2,1000000.0,464632.99,642109184.11,29501889.7,37967147.29,28507.2,,856354266.44,,,,,,,,,8049341.37,1873645355.91,,,1453868.0,,,,,165703064.58,,,,,,4120870.96,,,4190505.25,35079580.69,,1267923.92,254433809.68,,,,,,,,,,,,,,,,,2128079165.59,29738767.9,428019017.91,,,,,200368199.25,596440977.15,,,,20643602.59,2147779.52,,,11828582.81,,,,,,,,25722947.46,1088417.52,1297886177.71,,,,,27104051.47,6077065.59,,71896301.79,,,,,,,,,,,,,,,,,1369782479.5,,,,,5693853.41,752602832.68,758296686.09,2128079165.59,,16939893.08,,,,,,,,,,,,11626653.5,642573817.1,796809176.4,29530396.9,165703064.58,,11828582.81,,,363466.8,0
920249.BJ,20240427,20240427,20240331,1,1,1,421630000.0,140949294.07,131433495.15,53210896.56,,207746240.74,1000000.0,542623.2,584599186.74,,10773395.24,28380.0,,898330395.11,,,,,,,,,10225280.23,1894434374.52,,,1424206.01,,,,,,,,,,,4479931.14,,,4799135.16,29366339.99,,505416.75,254884198.93,,,,,,,,,,,,,,,,,2149318573.45,35110211.9,434112169.88,,,,,197198686.77,605736070.64,,,,19667501.93,3672234.0,,,,,,,,,,,24020285.94,607188.76,1302846564.39,,,,,27475356.7,5179052.47,,77444711.07,,,,,,,,,,,,,,,,,1380291275.46,,,,,6148432.6,762878865.39,769027297.99,2149318573.45,,15655179.61,,,,,,,,,,,,6559516.79,585141809.94,802934757.41,44268916.46,162327261.8,6595638.78,11272909.68,,,,0
920249.BJ,20240427,20240427,20231231,1,1,4,421630000.0,136900654.94,156866102.33,53210896.56,,181545893.58,1000000.0,374897.18,708922618.97,14468517.98,3090051.33,28332.17,,861780597.13,,,,,,,,,1555957.77,1924068752.67,,,1424206.01,,,,,164501099.86,8898853.97,,,,,4542271.49,,,5178298.56,26505144.58,,1227292.09,244025053.97,,,,,,,,,,,,,,,,,2168093806.64,34979598.0,395720147.33,,,,,265564869.4,577432528.27,,,,22603496.17,8133047.54,,,17087895.15,,,,,,,,15511755.1,678583.36,1309948971.0,,,,,23977647.7,5509764.34,,66612822.15,,,,,,,,,,,,,,,,,1376561793.15,,,,,6386523.59,785145489.9,791532013.49,2168093806.64,,16537836.07,,,,,,,,,,,,7216648.68,709297516.15,842997397.67,14496850.15,164501099.86,8898853.97,17087895.15,,,360285.88,1
920249.BJ,20240427,20240427,20231231,1,1,4,421630000.0,136900654.94,156866102.33,53210896.56,,181545893.58,1000000.0,374897.18,708922618.97,14468517.98,3090051.33,28332.17,,861780597.13,,,,,,,,,1555957.77,1924068752.67,,,1424206.01,,,,,164501099.86,8898853.97,,,,,4542271.49,,,5178298.56,26505144.58,,1227292.09,244025053.97,,,,,,,,,,,,,,,,,2168093806.64,34979598.0,395720147.33,,,,,265564869.4,577432528.27,,,,22603496.17,8133047.54,,,17087895.15,,,,,,,,15511755.1,678583.36,1309948971.0,,,,,23977647.7,5509764.34,,66612822.15,,,,,,,,,,,,,,,,,1376561793.15,,,,,6386523.59,785145489.9,791532013.49,2168093806.64,,16537836.07,,,,,,,,,,,,7216648.68,709297516.15,842997397.67,14496850.15,164501099.86,8898853.97,17087895.15,,,360285.88,0
920249.BJ,20240427,20260131,20231231,1,1,4,421630000.0,148305416.46,140957578.24,52606279.01,,181545893.58,1000000.0,374897.18,708922618.97,14468517.98,3090051.33,28332.17,,861780597.13,,,,,,,,,1555957.77,1924068752.67,,,1424206.01,,,,,164501099.86,8898853.97,,,,,4542271.49,,,5178298.56,26505144.58,,1227292.09,244025053.97,,,,,,,,,,,,,,,,,2168093806.64,34979598.0,395720147.33,,,,,265564869.4,577432528.27,,,,22603496.17,13642042.1,,,17087895.15,,,,,,,,15511755.1,678583.36,1315457965.56,,,,,23977647.7,5509764.34,,66612822.15,,,,,,,,,,,,,,,,,1382070787.71,,,,,5985909.15,780037109.78,786023018.93,2168093806.64,,16537836.07,,,,,,,,,,,,7216648.68,709297516.15,842997397.67,14496850.15,164501099.86,8898853.97,17087895.15,,,360285.88,1
920249.BJ,20231028,20231028,20230930,1,1,3,421630000.0,135677774.88,162595853.26,52236875.74,,143917174.93,1000000.0,1528965.46,402575663.96,,10532641.15,,,1077643262.9,,,,,,,,,7681626.75,1741220655.58,,,1414568.82,,,,,,,,,,,4575813.69,,,2704600.55,23064777.97,,,236890313.94,,,,,,,,,,,,,,,,,1978110969.52,49158377.29,342944422.32,,,,,291968874.81,423428043.26,,,,17057489.12,2790939.5,,,,,,,,,,,2114768.84,1547256.46,1103350731.88,,,,188999.05,22977095.17,6000417.3,,82053078.2,,,,,,,,,,,,,,,,,1185403810.08,,,,,5604083.58,787103075.86,792707159.44,1978110969.52,,14962571.98,,,,,,,,,,,,11029214.73,404104629.42,715396918.07,34409292.08,93219193.72,77711132.96,10469722.84,,,355137.34,0
